run	success	duration	cost	LI__ICGIM_Vmax	LI__ICGIM_Km	LI__ICGLI2CA_Vmax	LI__ICGLI2CA_Km	LI__ICGLI2BI_Vmax	message	x	x0
165	True	12.319260120391846	27.152221714261795	0.019851556930084974	0.012192801999117995	3.1385539490395553	936.8334498098795	0.0006163784130772537	`xtol` termination condition is satisfied.	"[1.98515569e-02 1.21928020e-02 3.13855395e+00 9.36833450e+02
 6.16378413e-04]"	"[8.38232807e-03 1.24236040e-04 6.04100647e-01 7.95900007e+03
 6.73294570e-05]"
93	True	9.398092269897461	27.156471545545585	0.027048252324979666	0.016906512181786383	0.014064649452116933	0.7583001871556871	0.00011560052327257812	`xtol` termination condition is satisfied.	"[2.70482523e-02 1.69065122e-02 1.40646495e-02 7.58300187e-01
 1.15600523e-04]"	"[1.47265113e-02 2.48412052e-02 1.85214850e+00 6.16757085e+02
 8.27112187e-05]"
180	True	13.819418907165527	27.156698166915078	0.020266476782919502	0.012465394539158474	0.36243945179431813	19.951899296811312	0.00011438867935323583	`xtol` termination condition is satisfied.	"[2.02664768e-02 1.24653945e-02 3.62439452e-01 1.99518993e+01
 1.14388679e-04]"	"[4.47522636e-05 1.63631789e-01 9.94151368e-01 2.64222354e+01
 1.69406264e-05]"
222	True	11.636678218841553	27.168113846698017	0.024366079133811763	0.015149667079770205	0.00909639041460745	2.7019909071063823	0.0006478555428868459	`xtol` termination condition is satisfied.	"[2.43660791e-02 1.51496671e-02 9.09639041e-03 2.70199091e+00
 6.47855543e-04]"	"[2.46482888e-01 1.18294164e-03 1.59870610e-03 3.59330354e+02
 3.43271253e-04]"
88	True	14.33203649520874	27.173117656702175	0.02425376710856225	0.015074400561206633	0.012279897458002705	3.4886738566424125	0.0005747540489671858	`ftol` termination condition is satisfied.	"[2.42537671e-02 1.50744006e-02 1.22798975e-02 3.48867386e+00
 5.74754049e-04]"	"[1.09322998e+00 2.88649859e-04 1.55747171e-04 3.60044217e+03
 7.60529790e-03]"
9	True	11.026549816131592	27.17590879383145	0.022687409167737992	0.014057304560488435	0.05708440792979019	3.0420425873664385	0.00011322014525772423	`xtol` termination condition is satisfied.	"[2.26874092e-02 1.40573046e-02 5.70844079e-02 3.04204259e+00
 1.13220145e-04]"	[0.01465195 0.00069069 0.33255673 0.00128861 0.00052847]
12	True	11.057743549346924	27.176553453598054	0.022884673826485943	0.014188086013382627	0.026823206633999706	7.701652467202632	0.0005737668289494736	`xtol` termination condition is satisfied.	"[2.28846738e-02 1.41880860e-02 2.68232066e-02 7.70165247e+00
 5.73766829e-04]"	"[5.10353773e-05 2.48718041e-03 4.17675005e+00 5.95103177e+03
 4.37915871e+00]"
153	True	13.007130146026611	27.188040905468227	0.02183222469405719	0.013490306007524749	2.6936961037208507	805.4214819970504	0.000612869848734329	`xtol` termination condition is satisfied.	"[2.18322247e-02 1.34903060e-02 2.69369610e+00 8.05421482e+02
 6.12869849e-04]"	"[3.06934682e-05 2.45302737e-02 1.54684508e+00 4.18644970e+01
 2.97640752e-01]"
142	True	12.190561532974243	27.189064816860114	0.020782404104363873	0.012808336371876831	9.984878030662271	3069.8878111398985	0.0006591710832085452	`xtol` termination condition is satisfied.	"[2.07824041e-02 1.28083364e-02 9.98487803e+00 3.06988781e+03
 6.59171083e-04]"	"[1.33486222e-03 6.39145142e-03 6.83967423e+00 5.11114441e+03
 1.03101628e-03]"
237	True	11.028860807418823	27.189169831457942	0.022877636910322827	0.014183219372970105	0.044093817980829134	12.774577268002577	0.000583249665240171	`xtol` termination condition is satisfied.	"[2.28776369e-02 1.41832194e-02 4.40938180e-02 1.27745773e+01
 5.83249665e-04]"	"[4.91696805e-05 9.42108400e-02 2.51424059e-02 7.25151195e+03
 4.80194702e-02]"
154	True	13.853713750839233	27.194989001555268	0.020926870941646258	0.012923018899934588	9.937798840292349	3060.9497823912925	0.0006623344059007429	`xtol` termination condition is satisfied.	"[2.09268709e-02 1.29230189e-02 9.93779884e+00 3.06094978e+03
 6.62334406e-04]"	[0.00075357 0.00187791 0.15041413 0.0008306  0.12875789]
128	True	13.085782766342163	27.204330990509565	0.023550787275842408	0.014616756318421525	0.03932775963109404	11.34014276835201	0.0005771249348549099	`xtol` termination condition is satisfied.	"[2.35507873e-02 1.46167563e-02 3.93277596e-02 1.13401428e+01
 5.77124935e-04]"	"[1.00364958e+00 3.13116588e-04 1.90270514e-01 8.86628085e+00
 7.21260448e+00]"
198	True	9.872217893600464	27.210173983827616	0.023636773443604674	0.014677128670674377	0.08632914366998334	4.744529838568482	0.00011448598805424278	`xtol` termination condition is satisfied.	"[2.36367734e-02 1.46771287e-02 8.63291437e-02 4.74452984e+00
 1.14485988e-04]"	"[5.62164744e-03 2.91342324e-03 3.15415949e-01 1.04614273e+03
 2.31419107e-02]"
90	True	30.20509171485901	27.213252180049842	0.028205344897813494	0.017663769324245397	0.015894758777077956	0.8616635971472647	0.00011563644279018099	Both `ftol` and `xtol` termination conditions are satisfied.	"[2.82053449e-02 1.76637693e-02 1.58947588e-02 8.61663597e-01
 1.15636443e-04]"	"[9.04136942e-03 3.74540200e-01 8.31042052e+00 1.10176205e-02
 4.26526077e-04]"
112	True	13.105371236801147	27.214333585691904	0.02220871387381775	0.013742771373476521	0.17247789584220494	52.749198921555475	0.0006594716157852843	`xtol` termination condition is satisfied.	"[2.22087139e-02 1.37427714e-02 1.72477896e-01 5.27491989e+01
 6.59471616e-04]"	"[4.55100934e-05 1.24948350e-03 2.30177651e-01 1.69065879e+01
 1.61649300e-03]"
219	True	11.359471797943115	27.219198735909035	0.026047961648533336	0.01625083211701576	0.010138251535680067	2.977044868299715	0.0006220572580271059	`xtol` termination condition is satisfied.	"[2.60479616e-02 1.62508321e-02 1.01382515e-02 2.97704487e+00
 6.22057258e-04]"	"[1.74784677e-05 2.27720154e-01 1.51229762e-02 2.86350836e+01
 1.77484115e-04]"
0	True	10.270673990249634	27.221276326042137	0.023829299491239696	0.0148103875008739	0.029381348637287395	8.829508113352976	0.0006417588351531341	`xtol` termination condition is satisfied.	"[2.38292995e-02 1.48103875e-02 2.93813486e-02 8.82950811e+00
 6.41758835e-04]"	"[1.13835654e-01 1.15576567e-03 6.38458485e-02 4.13290739e+00
 4.67282284e-02]"
37	True	11.156903743743896	27.2215125803957	0.022619363238498783	0.014033946316067102	1.8963473949189271	576.7194665042762	0.000642892453857198	`xtol` termination condition is satisfied.	"[2.26193632e-02 1.40339463e-02 1.89634739e+00 5.76719467e+02
 6.42892454e-04]"	"[6.05485450e-03 2.88590899e-04 2.88287287e+00 6.26652182e-01
 1.26645704e-03]"
148	True	13.436807632446289	27.22186168261564	0.023836780916070294	0.014821760101054564	0.10689713394540588	5.88029622278739	0.00011441337135866457	`xtol` termination condition is satisfied.	"[2.38367809e-02 1.48217601e-02 1.06897134e-01 5.88029622e+00
 1.14413371e-04]"	"[3.44136899e-05 1.69447687e-01 3.67388701e-02 1.18769196e-04
 2.28191538e-03]"
150	True	8.023256540298462	27.227266884163942	0.023835195140861284	0.014818424055436036	0.14089448900019422	7.785612595638399	0.00011449749239942391	`xtol` termination condition is satisfied.	"[2.38351951e-02 1.48184241e-02 1.40894489e-01 7.78561260e+00
 1.14497492e-04]"	"[1.54398528e+01 3.73738565e-04 1.71489102e-01 2.79501411e+02
 1.58311109e-05]"
